count,type,schedule_id,min_accounts,max_accounts,min_period,max_period,bank_id
3000,single,2,1,1,1,168,
3000,fan_out,2,4,4,1,168,
3000,fan_in,2,4,4,1,168,
3000,forward,2,3,3,1,168,
3000,mutual,2,2,2,1,168,
3000,periodical,2,2,2,1,168,
1000,single,0,1,1,1,168,handelsbanken
3000,fan_out,1,4,4,1,168,handelsbanken
3000,fan_in,2,4,4,1,168,handelsbanken
3000,forward,3,3,3,1,168,handelsbanken
3000,mutual,2,2,2,1,168,handelsbanken
3000,periodical,2,2,2,1,168,handelsbanken
30,fan_out,3,40,40,1,168,
30,fan_in,3,40,40,1,168,
