Count,In-degree,Out-degree
958,0,1
137896,0,2
47217,0,3
9782,0,4
3260,0,5
1281,0,6
688,0,7
382,0,8
241,0,9
123,0,10
84,0,11
62,0,12
33,0,13
33,0,14
17,0,15
22,0,16
16,0,17
12,0,18
17,0,19
6,0,20
7,0,21
2,0,22
2,0,23
5,0,24
2,0,25
5,0,26
1,0,28
2,0,29
6,0,30
3,0,31
1,0,32
1,0,33
2,0,34
1,0,35
1,0,36
2,0,37
1,0,40
2,0,41
1,0,44
1,0,47
1,0,48
1,0,55
1,0,61
1,0,65
1,0,176
277274,1,1
94344,1,2
19606,1,3
6479,1,4
2819,1,5
1382,1,6
745,1,7
425,1,8
335,1,9
180,1,10
127,1,11
95,1,12
53,1,13
50,1,14
37,1,15
35,1,16
22,1,17
19,1,18
14,1,19
11,1,20
8,1,21
9,1,22
7,1,23
6,1,24
4,1,25
9,1,26
5,1,27
6,1,28
2,1,29
1,1,30
3,1,31
3,1,32
1,1,33
1,1,34
1,1,35
1,1,38
1,1,45
1,1,51
1,1,62
1,1,65
1,1,67
1,1,69
1,1,73
1,1,103
138494,2,0
95757,2,1
19776,2,2
6409,2,3
2632,2,4
1300,2,5
720,2,6
466,2,7
330,2,8
180,2,9
108,2,10
97,2,11
59,2,12
52,2,13
37,2,14
31,2,15
16,2,16
11,2,17
15,2,18
10,2,19
8,2,20
9,2,21
4,2,22
8,2,23
4,2,24
2,2,25
4,2,26
1,2,27
4,2,28
4,2,29
3,2,30
1,2,32
2,2,33
1,2,34
2,2,36
1,2,42
2,2,43
1,2,49
1,2,64
47390,3,0
19869,3,1
6533,3,2
2660,3,3
1337,3,4
765,3,5
448,3,6
292,3,7
151,3,8
103,3,9
81,3,10
67,3,11
44,3,12
36,3,13
26,3,14
28,3,15
20,3,16
9,3,17
15,3,18
4,3,19
5,3,20
7,3,21
6,3,22
6,3,23
2,3,24
3,3,25
3,3,26
6,3,27
1,3,28
2,3,29
1,3,30
1,3,32
3,3,33
1,3,35
2,3,37
2,3,38
1,3,44
1,3,46
1,3,51
1,3,56
1,3,64
9717,4,0
6448,4,1
2742,4,2
1312,4,3
718,4,4
463,4,5
280,4,6
190,4,7
129,4,8
101,4,9
80,4,10
39,4,11
38,4,12
25,4,13
23,4,14
18,4,15
14,4,16
17,4,17
5,4,18
7,4,19
6,4,20
8,4,21
6,4,22
5,4,23
4,4,24
3,4,25
3,4,26
2,4,27
3,4,28
1,4,29
3,4,30
1,4,31
1,4,33
2,4,34
1,4,36
1,4,37
1,4,38
2,4,39
2,4,40
1,4,43
1,4,46
1,4,57
1,4,70
3194,5,0
2712,5,1
1357,5,2
725,5,3
469,5,4
254,5,5
175,5,6
115,5,7
102,5,8
61,5,9
47,5,10
38,5,11
40,5,12
27,5,13
14,5,14
12,5,15
15,5,16
10,5,17
14,5,18
10,5,19
7,5,20
7,5,21
2,5,23
7,5,24
2,5,25
3,5,26
3,5,27
2,5,28
2,5,30
5,5,31
1,5,34
2,5,35
1,5,37
1,5,40
1,5,42
1,5,43
1,5,44
1,5,45
1,5,63
1400,6,0
1394,6,1
724,6,2
469,6,3
296,6,4
190,6,5
131,6,6
77,6,7
70,6,8
35,6,9
32,6,10
28,6,11
19,6,12
17,6,13
12,6,14
21,6,15
11,6,16
8,6,17
13,6,18
8,6,19
5,6,20
4,6,21
6,6,22
6,6,23
3,6,24
4,6,25
1,6,26
1,6,27
2,6,28
1,6,29
2,6,30
1,6,38
1,6,39
1,6,40
2,6,41
1,6,44
2,6,45
1,6,54
1,6,56
741,7,0
740,7,1
475,7,2
275,7,3
172,7,4
109,7,5
93,7,6
65,7,7
45,7,8
44,7,9
37,7,10
25,7,11
14,7,12
8,7,13
18,7,14
10,7,15
9,7,16
7,7,17
4,7,18
4,7,19
5,7,20
1,7,21
3,7,22
5,7,24
3,7,26
4,7,27
3,7,28
1,7,29
1,7,30
1,7,32
2,7,34
1,7,36
1,7,39
1,7,40
1,7,41
1,7,49
1,7,53
1,7,70
1,7,105
1,7,159
342,8,0
454,8,1
267,8,2
170,8,3
122,8,4
89,8,5
72,8,6
45,8,7
42,8,8
26,8,9
26,8,10
23,8,11
13,8,12
9,8,13
5,8,14
12,8,15
10,8,16
10,8,17
2,8,18
1,8,19
2,8,20
3,8,21
5,8,22
2,8,23
3,8,24
2,8,25
2,8,26
1,8,27
1,8,29
3,8,30
1,8,32
1,8,33
1,8,34
1,8,37
1,8,38
1,8,39
1,8,43
1,8,63
1,8,66
227,9,0
280,9,1
179,9,2
136,9,3
82,9,4
77,9,5
38,9,6
31,9,7
27,9,8
32,9,9
10,9,10
12,9,11
9,9,12
14,9,13
6,9,14
5,9,15
9,9,16
3,9,17
1,9,18
3,9,19
3,9,20
1,9,21
6,9,22
1,9,23
1,9,24
3,9,25
1,9,26
1,9,31
4,9,33
3,9,34
1,9,37
1,9,39
1,9,40
1,9,42
1,9,45
1,9,46
1,9,71
1,9,76
1,9,111
150,10,0
180,10,1
125,10,2
82,10,3
69,10,4
57,10,5
39,10,6
40,10,7
23,10,8
19,10,9
20,10,10
14,10,11
2,10,12
10,10,13
8,10,14
3,10,15
3,10,16
3,10,17
2,10,18
3,10,19
5,10,20
4,10,21
2,10,23
1,10,24
3,10,25
1,10,26
1,10,27
3,10,28
2,10,33
1,10,34
1,10,36
1,10,37
1,10,45
1,10,50
1,10,52
99,11,0
138,11,1
88,11,2
66,11,3
51,11,4
39,11,5
29,11,6
29,11,7
12,11,8
20,11,9
11,11,10
8,11,11
2,11,12
6,11,13
8,11,14
4,11,15
6,11,16
6,11,17
1,11,18
3,11,20
4,11,21
3,11,23
1,11,24
6,11,26
1,11,28
1,11,29
1,11,30
3,11,31
1,11,34
1,11,37
2,11,41
1,11,53
1,11,54
1,11,74
66,12,0
74,12,1
61,12,2
47,12,3
38,12,4
19,12,5
20,12,6
14,12,7
19,12,8
18,12,9
10,12,10
8,12,11
5,12,12
7,12,13
4,12,14
6,12,15
4,12,16
10,12,17
3,12,18
3,12,20
2,12,21
1,12,22
2,12,23
1,12,25
1,12,27
2,12,28
2,12,29
1,12,30
1,12,31
4,12,32
1,12,35
1,12,40
1,12,46
1,12,56
1,12,292
43,13,0
70,13,1
35,13,2
37,13,3
22,13,4
14,13,5
20,13,6
17,13,7
16,13,8
6,13,9
11,13,10
4,13,11
5,13,12
2,13,13
4,13,14
8,13,15
5,13,16
2,13,17
2,13,18
2,13,20
