Count,In-degree,Out-degree
1,204,204
1,223,224
1,219,218
1,208,208
1,213,214
1,218,218
1,251,251
1,257,257
1,190,190
1,154,153
1,268,269
1,266,265
1,209,209
1,213,213
1,223,223
1,208,209
1,235,235
1,222,222
1,187,186
1,275,275
1,171,171
1,272,273
1,227,227
1,286,285
1,208,209
1,263,262
1,272,272
1,217,218
1,262,262
1,156,155
1,223,224
1,185,185
1,290,289
1,237,238
1,302,302
1,228,228
1,223,223
1,213,213
1,203,202
1,182,182
1,124,125
1,243,242
1,312,312
1,264,264
1,294,294
1,294,295
1,212,211
1,222,223
1,215,215
1,273,272
1,286,286
1,199,199
1,262,262
1,260,261
1,505,503
1,532,535
1,581,579
1,606,602
1,557,563
1,506,504
1,530,526
1,596,597
1,540,542
1,548,547
1,494,493
1,515,521
1,518,516
1,552,547
1,543,542
1,519,523
1,525,526
1,556,550
1,495,502
1,494,493
1,474,475
1,443,440
1,412,417
1,499,490
1,477,484
1,483,478
1,417,427
1,390,378
1,424,431
1,468,460
1,421,422
1,441,448
1,412,401
1,445,461
1,506,494
1,377,390
1,407,391
1,404,417
1,326,317
1,386,390
1,421,424
1,374,364
1,379,387
1,367,364
1,400,407
1,388,375
1,306,323
1,369,351
1,258,271
1,378,374
1,362,370
1,338,328
1,284,282
1,375,380
1,310,311
1,383,387
1,310,304
1,394,404
1,319,302
1,364,368
1,289,293
1,358,349
1,402,403
1,311,313
1,347,352
1,341,339
1,305,303
1,274,277
1,335,339
1,309,307
1,317,319
1,303,308
1,337,333
1,297,295
1,305,309
1,283,288
1,288,283
1,310,304
1,318,324
1,337,324
1,303,308
1,265,269
1,319,315
1,279,279
1,308,322
1,267,262
1,352,339
1,307,316
1,292,286
1,303,308
1,319,318
1,248,262
1,269,253
1,252,252
1,278,277
1,208,211
1,204,211
1,308,299
1,224,227
1,304,302
1,300,306
1,292,285
1,248,257
1,262,256
1,249,255
1,276,266
1,256,259
1,242,251
1,227,227
1,266,255
1,240,247
1,239,250
1,290,272
1,246,258
1,229,223
1,281,277
1,270,270
1,271,263
1,316,315
1,220,231
1,208,199
1,255,268
1,284,272
1,266,273
1,236,237
1,206,204
1,276,273
1,274,289
1,193,189
1,259,251
1,230,233
1,201,201
1,224,213
1,255,261
1,220,222
1,251,253
1,195,196
1,218,216
1,209,202
1,187,192
1,207,209
1,246,240
1,252,268
1,236,235
1,228,217
1,182,187
1,249,247
1,199,197
1,181,189
1,229,223
1,234,227
1,249,241
1,252,252
1,218,220
1,235,233
1,188,180
1,228,244
1,221,218
1,203,205
1,228,231
1,227,220
1,184,184
1,226,233
1,203,202
1,221,221
1,212,207
1,217,229
1,195,189
1,197,208
