age, average year income (tkr), median year income (tkr), population size
16, 5.7, 0.0, 118238.0
17, 11.5, 5.3, 117938.0
18, 24.2, 11.7, 116530.0
19, 72.3, 55.9, 114416.5
20, 133.3, 109.0, 111411.0
21, 153.4, 124.1, 114028.0
22, 167.1, 139.2, 118475.5
23, 184.5, 161.0, 115573.5
24, 205.4, 194.5, 114967.0
25, 231.4, 234.4, 120705.0
26, 257.3, 271.4, 129961.5
27, 278.3, 295.3, 139635.5
28, 294.9, 311.1, 145418.0
29, 308.6, 322.9, 151899.5
30, 320.2, 330.8, 155462.0
31, 329.5, 336.8, 158265.5
32, 337.2, 341.6, 151808.5
33, 345.4, 347.2, 149679.0
34, 352.9, 352.1, 142731.0
35, 362.2, 358.8, 141009.0
36, 371.7, 364.1, 138362.5
37, 380.9, 369.2, 133492.0
38, 388.9, 375.1, 130302.0
39, 400.2, 382.0, 130509.5
40, 413.8, 391.0, 128155.5
41, 421.0, 395.5, 132243.0
42, 431.1, 402.5, 127972.5
43, 438.9, 405.3, 123944.5
44, 445.9, 409.9, 125231.0
45, 459.3, 414.8, 126033.5
46, 462.4, 418.2, 130276.5
47, 465.0, 421.5, 135608.0
48, 469.6, 423.7, 132919.0
49, 468.7, 423.2, 134869.0
50, 472.3, 423.8, 134048.5
51, 462.1, 417.5, 130497.0
52, 461.2, 415.5, 127909.0
53, 457.6, 413.1, 132736.5
54, 457.4, 412.8, 138342.5
55, 450.4, 407.9, 138877.5
56, 445.6, 403.5, 138595.0
57, 439.2, 399.6, 137276.0
58, 431.0, 392.9, 127517.0
59, 422.5, 386.8, 121121.0
60, 418.0, 383.1, 116315.5
61, 404.3, 372.9, 114654.0
62, 400.3, 371.5, 114126.5
63, 392.8, 364.2, 112936.5
64, 380.7, 353.8, 113261.0
65, 379.2, 343.4, 112552.5
66, 371.3, 321.4, 109733.5
67, 357.7, 305.4, 106571.5
68, 346.6, 294.2, 107841.5
69, 331.6, 279.0, 106143.5
70, 309.0, 252.7, 103572.0
71, 287.7, 232.6, 106778.0
72, 281.4, 228.9, 108978.5
73, 274.0, 224.6, 111119.0
74, 268.6, 223.0, 110022.0
75, 259.7, 218.3, 108868.5
76, 253.9, 213.8, 105822.5
77, 251.1, 214.9, 101069.5
78, 248.6, 214.5, 91733.0
79, 246.5, 215.3, 81948.5
80, 238.4, 211.1, 69629.0
81, 231.2, 207.4, 63663.5
82, 228.9, 207.4, 60746.5
83, 226.2, 206.2, 55311.5
84, 226.7, 209.4, 49042.5
85, 223.3, 208.8, 44600.0
86, 220.4, 207.2, 38860.0
87, 214.8, 201.5, 34303.0
88, 215.2, 201.8, 30467.0
89, 213.4, 200.4, 27454.5
90, 212.9, 199.0, 23884.0
91, 210.4, 196.3, 20464.5
92, 210.6, 195.8, 16445.5
93, 207.4, 192.7, 13677.0
94, 207.6, 192.1, 10713.5
95, 211.4, 185.4, 8275.5
96, 204.4, 186.3, 6239.5
97, 199.6, 180.2, 4652.5
98, 195.3, 175.2, 3174.5
99, 191.9, 173.3, 2122.0
100, 187.3, 164.8, 3440.5
